Pollutant,Category,Detection Rate (%),Detected Samples,Total Samples,Mean Concentration,Median Concentration,Std Concentration,Min Concentration,Max Concentration,Season
THIA,Parent Compound,90.57,48,53,188.987,44.5,603.418,4.2,4246.8,Dry
IMI,Parent Compound,98.11,52,53,67.638,40.2,195.904,1.2,1441.0,Dry
CLO,Parent Compound,92.45,49,53,60.804,49.2,93.25,5.4,652.0,Dry
ACE,Parent Compound,79.25,42,53,14.257,11.3,11.933,0.6,58.6,Dry
DIN,Parent Compound,96.23,51,53,172.616,88.0,407.934,2.4,2162.0,Dry
parentNNIs,Total,100.0,53,53,484.272,322.2,960.798,3.0,6601.4,Dry
IMI-UREA,Metabolite,79.25,42,53,19.443,15.6,14.65,2.2,82.0,Dry
DN-IMI,Metabolite,45.28,24,53,61.875,43.1,69.162,4.6,364.8,Dry
DM-ACE,Metabolite,37.74,20,53,2.61,2.7,1.148,0.4,5.8,Dry
CLO-UREA,Metabolite,69.81,37,53,34.005,20.0,46.691,2.2,242.0,Dry
mNNIs,Total,94.34,50,53,78.011,48.8,96.219,2.0,535.0,Dry
THIA,Parent Compound,75.47,40,53,111.185,51.5,166.994,6.4,1014.6,Normal
IMI,Parent Compound,77.36,41,53,83.376,45.4,101.372,8.0,572.0,Normal
CLO,Parent Compound,47.17,25,53,97.136,67.0,89.938,9.4,383.4,Normal
ACE,Parent Compound,67.92,36,53,15.478,12.5,10.372,2.0,54.8,Normal
DIN,Parent Compound,100.0,53,53,1913.064,590.0,2575.255,8.0,8758.0,Normal
parentNNIs,Total,100.0,53,53,2132.034,807.6,2732.991,8.0,9024.6,Normal
IMI-UREA,Metabolite,20.75,11,53,30.636,26.2,17.202,12.6,80.4,Normal
DN-IMI,Metabolite,98.11,52,53,486.169,230.3,742.14,8.0,3940.6,Normal
DM-ACE,Metabolite,0.0,0,53,0.0,0.0,0.0,0.0,0.0,Normal
CLO-UREA,Metabolite,62.26,33,53,240.436,173.0,232.951,43.8,1088.0,Normal
mNNIs,Total,100.0,53,53,774.098,446.8,1006.523,8.0,5262.2,Normal
THIA,Parent Compound,88.68,47,53,207.94,105.6,208.434,3.2,655.6,Rainy
IMI,Parent Compound,98.11,52,53,95.046,86.7,74.821,3.6,331.0,Rainy
CLO,Parent Compound,86.79,46,53,279.657,150.5,290.675,3.6,999.4,Rainy
ACE,Parent Compound,98.11,52,53,14.685,10.2,15.85,0.4,69.6,Rainy
DIN,Parent Compound,96.23,51,53,46.357,31.8,56.726,4.0,359.6,Rainy
parentNNIs,Total,100.0,53,53,596.113,380.2,571.377,4.6,2007.4,Rainy
IMI-UREA,Metabolite,79.25,42,53,29.233,26.8,16.544,4.6,67.2,Rainy
DN-IMI,Metabolite,32.08,17,53,275.776,286.2,55.451,175.4,371.0,Rainy
DM-ACE,Metabolite,32.08,17,53,0.965,0.6,0.844,0.2,3.6,Rainy
CLO-UREA,Metabolite,73.58,39,53,78.667,42.0,88.033,7.2,471.0,Rainy
mNNIs,Total,88.68,47,53,218.187,111.8,222.497,4.6,722.6,Rainy
