,THIA,IMI,CLO,ACE,DIN,parentNNIs,IMI-UREA,DN-IMI,DM-ACE,CLO-UREA,mNNIs
THIA,1.0,0.686388816431314,0.5954602828239127,0.5042953535045344,0.2646234395749965,0.6133116699666357,0.5143179903869962,0.32556352118493936,0.27596038199693423,0.40408461467490914,0.4257514407416998
IMI,0.686388816431314,1.0,0.4827206221472651,0.5408305084258787,0.2774169397890946,0.6036427376311873,0.46594660375889835,0.32204794774978857,0.26820452384726073,0.32160072752626473,0.4302543685855308
CLO,0.5954602828239127,0.4827206221472651,1.0,0.3707928448162605,0.08906696754655923,0.46271359724872446,0.544811597360773,0.12589349582456433,0.23694199331363924,0.3973902438618348,0.2899339050479581
ACE,0.5042953535045344,0.5408305084258787,0.3707928448162605,1.0,0.3112452673752374,0.4447683291795891,0.4128865807577159,0.30812770396756817,0.33134511140739636,0.26209867429973954,0.3668594390233337
DIN,0.2646234395749965,0.2774169397890946,0.08906696754655923,0.3112452673752374,1.0,0.5985816373260986,0.023848633084444498,0.47953935344548143,0.07517290957035815,0.3340672022950922,0.5367763046936737
parentNNIs,0.6133116699666357,0.6036427376311873,0.46271359724872446,0.4447683291795891,0.5985816373260986,1.0,0.30187102971101976,0.4853676686227746,0.11565416123031368,0.44135175029682816,0.6321337947312914
IMI-UREA,0.5143179903869962,0.46594660375889835,0.544811597360773,0.4128865807577159,0.023848633084444498,0.30187102971101976,1.0,0.0801503422023627,0.36386336333815955,0.2929704089324265,0.23814460777510182
DN-IMI,0.32556352118493936,0.32204794774978857,0.12589349582456433,0.30812770396756817,0.47953935344548143,0.4853676686227746,0.0801503422023627,1.0,0.02404183322168091,0.37513198918290724,0.7283524051422301
DM-ACE,0.27596038199693423,0.26820452384726073,0.23694199331363924,0.33134511140739636,0.07517290957035815,0.11565416123031368,0.36386336333815955,0.02404183322168091,1.0,0.0793337339319632,0.017561954475308714
CLO-UREA,0.40408461467490914,0.32160072752626473,0.3973902438618348,0.26209867429973954,0.3340672022950922,0.44135175029682816,0.2929704089324265,0.37513198918290724,0.0793337339319632,1.0,0.6059246248813365
mNNIs,0.4257514407416998,0.4302543685855308,0.2899339050479581,0.3668594390233337,0.5367763046936737,0.6321337947312914,0.23814460777510182,0.7283524051422301,0.017561954475308714,0.6059246248813365,1.0
