,THIA,IMI,CLO,ACE,DIN,parentNNIs,IMI-UREA,DN-IMI,DM-ACE,CLO-UREA,mNNIs
THIA,1.0,0.9399228089519251,0.5511673968677138,0.45590683029591694,0.015102976721023143,0.3458798367847128,0.5946287252172784,0.22587755219090197,0.23208662151380588,0.16394615003166046,0.21699729169274298
IMI,0.9399228089519251,1.0,0.5311043219724066,0.5225248987799004,0.19738638822205348,0.5059949680068868,0.615883470604333,0.34281261124781714,0.20783707274729213,0.21487122579185491,0.3804543284907244
CLO,0.5511673968677138,0.5311043219724066,1.0,0.3036734732788867,-0.09808254305474015,0.16938524715023892,0.6812746597070651,0.12322799715019377,0.03661210413146005,0.19223946199125344,0.1493526822750545
ACE,0.45590683029591694,0.5225248987799004,0.3036734732788867,1.0,0.21565447758135603,0.37561390139612366,0.513628889628249,0.3722961685411402,0.3225591945860391,0.310265656956735,0.38520506645507624
DIN,0.015102976721023143,0.19738638822205348,-0.09808254305474015,0.21565447758135603,1.0,0.9382747316813189,-0.1219863566294597,0.5551391389733308,-0.10622644893700164,0.19018116920542724,0.6259937865894525
parentNNIs,0.3458798367847128,0.5059949680068868,0.16938524715023892,0.37561390139612366,0.9382747316813189,1.0,0.13078768586442485,0.6045683079405041,-0.0287505079017556,0.25132419856248467,0.6745419748897538
IMI-UREA,0.5946287252172784,0.615883470604333,0.6812746597070651,0.513628889628249,-0.1219863566294597,0.13078768586442485,1.0,0.22247711225767336,0.2762538693582352,0.32010485943222805,0.2597032892468232
DN-IMI,0.22587755219090197,0.34281261124781714,0.12322799715019377,0.3722961685411402,0.5551391389733308,0.6045683079405041,0.22247711225767336,1.0,-0.10348179246680281,0.6343885023321179,0.9360619399759352
DM-ACE,0.23208662151380588,0.20783707274729213,0.03661210413146005,0.3225591945860391,-0.10622644893700164,-0.0287505079017556,0.2762538693582352,-0.10348179246680281,1.0,-0.0905722549396276,-0.11479660470247424
CLO-UREA,0.16394615003166046,0.21487122579185491,0.19223946199125344,0.310265656956735,0.19018116920542724,0.25132419856248467,0.32010485943222805,0.6343885023321179,-0.0905722549396276,1.0,0.7037151902086493
mNNIs,0.21699729169274298,0.3804543284907244,0.1493526822750545,0.38520506645507624,0.6259937865894525,0.6745419748897538,0.2597032892468232,0.9360619399759352,-0.11479660470247424,0.7037151902086493,1.0
