,THIA,IMI,CLO,ACE,DIN,parentNNIs,IMI-UREA,DN-IMI,DM-ACE,CLO-UREA,mNNIs
THIA,1.0,0.8478200131175099,0.7407030882593777,0.6948771287083279,0.39592535675827345,0.7537399242267542,0.6526033651173684,0.44507010360540605,0.3546098047561238,0.5493384944803891,0.6003085608402509
IMI,0.8478200131175099,1.0,0.6264545243336179,0.7059606121608619,0.4226805966161707,0.7823906972734528,0.5887115552555072,0.44044480262622454,0.3532304624799357,0.43215683370398883,0.6032824662390791
CLO,0.7407030882593777,0.6264545243336179,1.0,0.49335007911014905,0.1269506847484337,0.5610278887483828,0.6806689715836789,0.16327566906135477,0.304537017839231,0.5130277585692228,0.3791389407743226
ACE,0.6948771287083279,0.7059606121608619,0.49335007911014905,1.0,0.43105217211701236,0.5901949712994702,0.5236469607678136,0.43187436224922604,0.4146933874132105,0.3603198091167224,0.5192879043861929
DIN,0.39592535675827345,0.4226805966161707,0.1269506847484337,0.43105217211701236,1.0,0.7648271467837678,0.01200192805906405,0.6376736392198783,0.07252076478171167,0.41377037695339336,0.7207749911193999
parentNNIs,0.7537399242267542,0.7823906972734528,0.5610278887483828,0.5901949712994702,0.7648271467837678,1.0,0.3380648686688353,0.6382435657230257,0.15343646156365628,0.5493426304576542,0.8302947461714869
IMI-UREA,0.6526033651173684,0.5887115552555072,0.6806689715836789,0.5236469607678136,0.01200192805906405,0.3380648686688353,1.0,0.10032270837794101,0.44047795976521903,0.34366894480193566,0.26711607184874303
DN-IMI,0.44507010360540605,0.44044480262622454,0.16327566906135477,0.43187436224922604,0.6376736392198783,0.6382435657230257,0.10032270837794101,1.0,0.03437928964947381,0.46399876379008026,0.8466223278856843
DM-ACE,0.3546098047561238,0.3532304624799357,0.304537017839231,0.4146933874132105,0.07252076478171167,0.15343646156365628,0.44047795976521903,0.03437928964947381,1.0,0.10107787135700784,0.021973209735381926
CLO-UREA,0.5493384944803891,0.43215683370398883,0.5130277585692228,0.3603198091167224,0.41377037695339336,0.5493426304576542,0.34366894480193566,0.46399876379008026,0.10107787135700784,1.0,0.7146840982923137
mNNIs,0.6003085608402509,0.6032824662390791,0.3791389407743226,0.5192879043861929,0.7207749911193999,0.8302947461714869,0.26711607184874303,0.8466223278856843,0.021973209735381926,0.7146840982923137,1.0
